Pergunta,Resposta
"O que são Tuples em C# e quando usá-las?","Tuples (C# 7) permitem retornar múltiplos valores sem criar classes: (string Name, int Age) GetPerson(). Acessados por nome ou Item1/Item2. ValueTuple (struct) é preferível ao antigo Tuple<> (class). Use para: retornos múltiplos em métodos privados, decomposição com var (name, age) = GetPerson(). Evite em APIs públicas; prefira classes/records para legibilidade."
"O que é Dependency Inversion Principle (DIP)?","DIP é o D do SOLID: módulos de alto nível não devem depender de módulos de baixo nível; ambos devem depender de abstrações. Abstrações não devem depender de detalhes. Em C#: a camada de negócio depende de IRepository (abstração), não de SqlRepository (detalhe). A implementação concreta é injetada via DI container. Resultado: código desacoplado e testável."
"O que é o princípio Open/Closed (OCP)? Exemplo em C#.","OCP: classes devem ser abertas para extensão, fechadas para modificação. Em vez de modificar código existente com if/else para novos comportamentos, use polimorfismo. Exemplo: em vez de if(tipo == ""credito"") ... else if(tipo == ""pix""), crie IPaymentStrategy com implementações CreditPayment e PixPayment. Adicionar novo pagamento = criar nova classe, sem alterar código existente."
"O que é Interface Segregation Principle (ISP)?","ISP: clientes não devem depender de interfaces que não usam. Em vez de uma interface grande IWorker com Work(), Eat(), Sleep(), crie IWorkable com Work() e IFeedable com Eat(). Robôs implementam IWorkable; humanos implementam ambas. Benefícios: coesão, classes implementam apenas o necessário, mudanças em uma interface não afetam implementações não relacionadas."
"O que é Liskov Substitution Principle (LSP)?","LSP: objetos de uma classe derivada devem ser substituíveis por objetos da classe base sem alterar a correção do programa. Violação clássica: Quadrado herda de Retângulo (alterar largura do quadrado deve alterar altura, quebrando expectativas). Em C#: subclasses não devem lançar exceções inesperadas, enfraquecer pós-condições ou fortalecer pré-condições."
"O que é 'var' em C#? Quando usar?","'var' é inferência de tipo em compile-time (não é dinâmico). O tipo é determinado pela expressão do lado direito. Use quando o tipo é óbvio: var list = new List<string>(). Evite quando obscurece o tipo: var result = GetData() (qual o tipo?). Nunca é dynamic; é fortemente tipado. var é obrigatório para anonymous types: var x = new { Name = ""Ana"" }."
"O que é 'dynamic' em C#? Diferença para 'var'.","'dynamic' resolve tipos em runtime (late binding), 'var' resolve em compile-time. dynamic não tem IntelliSense nem verificação de tipo em compilação; erros só aparecem em runtime. Usos: interop COM, reflection, ExpandoObject, JSON dinâmico. Evite dynamic em código geral; prefira tipos fortes. Performance inferior devido à resolução em runtime."
"Como funciona o operador '??' (null-coalescing) e '??=' em C#?","?? retorna o operando esquerdo se não-null, senão o direito: string nome = input ?? ""padrão"". ??= atribui o valor do lado direito somente se o lado esquerdo for null: list ??= new List<int>() (equivale a list = list ?? new List<int>()). Podem ser encadeados: a ?? b ?? c. Úteis para valores padrão e inicialização lazy."
"O que são init-only properties em C#?","init (C# 9) permite que propriedades sejam definidas apenas durante a inicialização do objeto (construtor ou object initializer). Após isso, tornam-se read-only. Exemplo: public string Nome { get; init; }. Diferente de 'set' (permite modificação a qualquer momento) e de read-only (get; sem set, só definível no construtor). Ideal para objetos semi-imutáveis."
"O que são top-level statements em C#?","Top-level statements (C# 9) permitem escrever código diretamente no arquivo sem classe Program ou método Main explícito. O compilador gera a estrutura automaticamente. Simplifica programas simples e scripts. Limitação: apenas um arquivo pode ter top-level statements. args está disponível implicitamente. Em .NET 6+, o template padrão usa top-level statements."
"Explique o conceito de 'hand-rolled fakes' vs mocking frameworks em testes.","Hand-rolled fakes são implementações manuais de interfaces criadas para testes (ex: FakeEmailSender implementa IEmailSender armazenando mensagens em lista). Mocking frameworks (Moq, NSubstitute) geram implementações dinamicamente. Fakes: mais controle, mais código, mais legíveis. Mocks: menos código, setup flexível, podem ser frágeis. Para testes simples, fakes manuais são preferíveis."
"O que é Test-Driven Development (TDD)?","TDD é a prática de escrever testes ANTES do código de produção. Ciclo Red-Green-Refactor: (1) Red: escreva um teste que falha, (2) Green: escreva o código mínimo para passar, (3) Refactor: melhore o código mantendo os testes passando. Benefícios: design guiado por uso, cobertura alta, confiança para refatorar. Nem sempre prático, mas valioso para lógica de negócio complexa."
"O que é o padrão AAA (Arrange-Act-Assert) em testes?","AAA organiza testes em 3 seções: Arrange (configurar dados e dependências), Act (executar a ação sendo testada), Assert (verificar o resultado). Cada teste deve testar uma coisa. Exemplo: [Fact] void DeveCalcularTotal() { var pedido = new Pedido(...); /*Arrange*/ var total = pedido.CalcularTotal(); /*Act*/ total.Should().Be(100); /*Assert*/ }."
"O que é o padrão Given/When/Then em testes?","Given/When/Then é o equivalente BDD do AAA: Given (pré-condições), When (ação), Then (resultado esperado). Focado na perspectiva do comportamento. Exemplo: Given um usuário autenticado, When ele acessa /admin, Then recebe status 200. Usado em testes de aceitação e integração. Frameworks como SpecFlow formalizam esse padrão."
"Qual a diferença entre 'const' e 'readonly' em C#?","'const': valor definido em compile-time, implicitamente estático, deve ser literal (números, strings, null). 'readonly': valor definido em runtime, pode ser atribuído no construtor, funciona com qualquer tipo. 'static readonly': similar a const mas com flexibilidade de runtime. Use const para valores verdadeiramente constantes; readonly para valores que dependem de configuração ou cálculo."
"O que são Span<T> e Memory<T>?","Span<T> é uma ref struct que representa uma fatia contígua de memória (array, stack, memória nativa) sem alocação. Não pode ser usado em contextos async (stack-only). Memory<T> é similar mas pode ser armazenado na heap (funciona com async). Ambos evitam cópias desnecessárias. Usados para parsing de strings, processamento de buffers. Melhoram performance significativamente."
"O que é source generator em C#?","Source generators (C# 9/.NET 5) geram código C# em compile-time. Analisam o código existente e produzem código adicional sem runtime reflection. Usos: serialização JSON (System.Text.Json), regex compilada, DI registration, mapeamento de objetos. Benefícios: performance (sem reflection), erros em compile-time, IntelliSense para código gerado."
"O que é o HttpClient e como usá-lo corretamente?","HttpClient é a classe para fazer requisições HTTP. Problema: criar instância por request causa socket exhaustion. Solução: IHttpClientFactory (registrado via AddHttpClient<T>()). Variações: typed clients (classe com HttpClient injetado), named clients. Sempre use async (GetAsync, PostAsJsonAsync). Configure timeouts e headers. Use Polly para retry/circuit breaker com AddPolicyHandler."
"O que são Value Objects no Domain-Driven Design?","Value Objects são objetos definidos por seus atributos, sem identidade. Exemplos: Email, CPF, Dinheiro, Endereço. Dois Value Objects com mesmos valores são iguais. Em C#: implemente com records (igualdade por valor built-in) ou structs. Validação no construtor. Imutáveis. Diferente de Entidades que têm identidade (Id) e podem mudar ao longo do tempo."
"O que é o padrão Options em ASP.NET Core?","O padrão Options permite acessar configurações tipadas via DI. Configure com services.Configure<MinhaConfig>(config.GetSection(""MinhaSecao"")). Injete como IOptions<MinhaConfig> (singleton), IOptionsSnapshot<MinhaConfig> (scoped, recarrega), IOptionsMonitor<MinhaConfig> (singleton, notifica mudanças). Valide com ValidateDataAnnotations() ou ValidateOnStart(). Evite injetar IConfiguration diretamente."
"O que é middleware de tratamento global de exceções em ASP.NET Core?","Middleware de exceções captura exceções não tratadas no pipeline. Em Minimal APIs: app.UseExceptionHandler() ou middleware customizado. Converta exceções em Problem Details (RFC 7807) com status code apropriado. Mapeie exceções de domínio para HTTP status codes: NotFoundException → 404, ValidationException → 400, UnauthorizedException → 401. Log a exceção original."
"Explique a diferença entre 'sealed' e 'abstract' em C#.","'abstract' impede instanciação direta e obriga subclasses a implementar membros abstract. Projetada para herança. 'sealed' impede que uma classe seja herdada. Benefícios de sealed: clareza de intenção, otimização de performance (o JIT pode devirtualizar chamadas). Use sealed por padrão em classes que não foram projetadas para herança. Records são sealed por padrão."
"O que é covariance e contravariance em C# generics?","Covariance (out T): permite usar um tipo mais derivado que o especificado. IEnumerable<out T>: IEnumerable<string> é atribuível a IEnumerable<object>. Contravariance (in T): permite usar um tipo menos derivado. Action<in T>: Action<object> é atribuível a Action<string>. Covariance é para saída (retornos), contravariance para entrada (parâmetros). Aplica-se a interfaces e delegates genéricos."
"Quais são as principais novidades do C# 10, 11 e 12?","C# 10: global using, file-scoped namespaces, record structs. C# 11: raw string literals, required members, list patterns, generic math. C# 12: primary constructors para classes, collection expressions ([1,2,3]), alias any type, default lambda parameters. Cada versão aumenta expressividade e reduz boilerplate, mantendo backward compatibility."
"O que são Global Usings e File-Scoped Namespaces?","Global usings (C# 10): 'global using System.Linq;' aplica o using a todos os arquivos do projeto. Implicit usings no SDK adicionam namespaces comuns automaticamente. File-scoped namespaces: 'namespace MeuApp;' (sem chaves) reduz indentação. Ambos reduzem boilerplate. Configure implicit usings no .csproj com <ImplicitUsings>enable</ImplicitUsings>."
"O que é o operador 'with' em C# records?","O operador 'with' cria uma cópia de um record com algumas propriedades alteradas: var novoUsuario = usuario with { Nome = ""Ana"" }. Essencial para imutabilidade: em vez de modificar o objeto, cria-se um novo. Funciona com records (class e struct). Copia todas as propriedades e aplica as alterações especificadas. Análogo a spread operator em JavaScript."
"Como funciona o pattern matching com switch expression?","Switch expression retorna um valor e usa pattern matching: var resultado = forma switch { Circulo c => Math.PI * c.Raio * c.Raio, Retangulo { Largura: var l, Altura: var a } => l * a, _ => throw new ArgumentException() }. Suporta: type patterns, property patterns, tuple patterns, when clauses, discard (_) como default. Mais conciso que switch statement."
"O que são Primary Constructors em C# 12?","Primary constructors permitem declarar parâmetros diretamente na declaração de classe/struct: class UserService(IUserRepository repo, ILogger<UserService> logger). Os parâmetros ficam disponíveis em toda a classe. Diferente de records: não geram propriedades públicas automaticamente. Reduzem boilerplate de DI. Os parâmetros são capturados como campos privados implícitos."
"O que é Minimal API vs Controller-based API? Quando usar cada?","Minimal APIs: menos cerimônia, declarativas, ideais para microserviços simples e poucos endpoints. Controllers: mais estruturados, suportam filtros complexos, model binding avançado, áreas, ideais para APIs grandes. Minimal APIs ganharam paridade de features (filters, groups, OpenAPI). Escolha baseada no tamanho do projeto e preferência da equipe. Ambos podem coexistir."
"O que é o padrão CQRS (Command Query Responsibility Segregation)?","CQRS separa operações de leitura (Queries) das de escrita (Commands). Cada lado pode ter modelos, repositórios e até bancos diferentes otimizados para seu propósito. Commands alteram estado e não retornam dados. Queries retornam dados sem alterar estado. Benefícios: otimização independente, escalabilidade. Complexidade adicional; use apenas quando leituras e escritas têm requisitos muito diferentes."
"O que é o padrão Mediator? Como se relaciona com MediatR?","Mediator promove acoplamento fraco: objetos se comunicam através de um mediador central. MediatR é uma biblioteca .NET que implementa Mediator com IRequest/IRequestHandler. Request é enviado ao Mediator que roteia para o handler correto. Pipelines behaviors permitem cross-cutting concerns (logging, validação, transação). Popular em CQRS. Cuidado: pode obscurecer o fluxo do código."
"O que é um Anti-Pattern Captive Dependency?","Captive Dependency ocorre quando um serviço com lifetime longo (Singleton) depende de um com lifetime curto (Scoped ou Transient). O serviço Scoped fica 'capturado' como Singleton, causando bugs. Exemplo: Singleton capturando DbContext Scoped faz o DbContext ser compartilhado entre requests. Solução: use IServiceScopeFactory para criar escopos sob demanda dentro de Singletons."
